query,closest_label,target_id,result_id,correct,rank,hit@1,hit@3,hit@5,time_sec_candidate_selection,time_sec_disambiguation
Chihuahua,Chihuahua,02085620-n,02085620-n,True,1,True,True,True,0.0226,0.0504
Japanese spaniel,Japanese spaniel,02085782-n,02085782-n,True,1,True,True,True,0.0209,0.0718
Maltese dog,Maltese dog,02085936-n,02085936-n,True,1,True,True,True,0.0217,0.0704
Maltese terrier,Maltese dog,02085936-n,02085936-n,True,1,True,True,True,0.0208,0.0456
Maltese,Maltese,02085936-n,02124157-n,False,4,False,False,True,0.0205,0.0006
Pekinese,Pekinese,02086079-n,02086079-n,True,1,True,True,True,0.0208,0.0665
Pekingese,chinchilla,02086079-n,02367492-n,False,-1,False,False,False,0.0211,0.0664
Peke,Pelecaniformes,02086079-n,02051213-n,False,-1,False,False,False,0.0223,0.024
Shih-Tzu,Shih-Tzu,02086240-n,02086240-n,True,1,True,True,True,0.0214,0.0477
Blenheim spaniel,Blenheim spaniel,02086646-n,02086646-n,True,1,True,True,True,0.0218,0.0506
papillon,papillon,02086910-n,02086910-n,True,1,True,True,True,0.0198,0.0686
toy terrier,toy terrier,02087046-n,02087046-n,True,1,True,True,True,0.0211,0.042
Rhodesian ridgeback,Rhodesian ridgeback,02087394-n,02087394-n,True,1,True,True,True,0.0208,0.0681
Afghan hound,Afghan hound,02088094-n,02088094-n,True,1,True,True,True,0.0209,0.0618
Afghan,Afghan,02088094-n,09689435-n,False,-1,False,False,False,0.0224,0.0414
basset,basset,02088238-n,02088238-n,True,1,True,True,True,0.02,0.065
basset hound,basset,02088238-n,02088238-n,True,1,True,True,True,0.0253,0.0199
beagle,beagle,02088364-n,02088364-n,True,1,True,True,True,0.0391,0.0619
bloodhound,bloodhound,02088466-n,02088466-n,True,1,True,True,True,0.0194,0.0642
sleuthhound,sleuth,02088466-n,10611613-n,False,-1,False,False,False,0.0205,0.0657
bluetick,bluetick,02088632-n,02088632-n,True,1,True,True,True,0.0201,0.0634
black-and-tan coonhound,black-and-tan coonhound,02089078-n,02089078-n,True,1,True,True,True,0.0218,0.0514
Walker hound,Walker hound,02089867-n,02089867-n,True,1,True,True,True,0.0209,0.0552
Walker foxhound,Walker hound,02089867-n,02089867-n,True,1,True,True,True,0.0204,0.0142
English foxhound,English foxhound,02089973-n,02089973-n,True,1,True,True,True,0.0218,0.055
redbone,redbone,02090379-n,02090379-n,True,1,True,True,True,0.0202,0.0483
borzoi,borzoi,02090622-n,02090622-n,True,1,True,True,True,0.02,0.0627
Russian wolfhound,wolfhound,02090622-n,02090475-n,False,-1,False,False,False,0.0208,0.0298
Irish wolfhound,Irish wolfhound,02090721-n,02090721-n,True,1,True,True,True,0.0204,0.0005
Italian greyhound,Italian greyhound,02091032-n,02091032-n,True,1,True,True,True,0.0224,0.0662
whippet,whippet,02091134-n,02091134-n,True,1,True,True,True,0.0214,0.0291
Ibizan hound,Ibizan hound,02091244-n,02091244-n,True,1,True,True,True,0.0215,0.0561
Ibizan Podenco,Enesco,02091244-n,10959074-n,False,3,False,True,True,0.0216,0.0482
Norwegian elkhound,Norwegian elkhound,02091467-n,02091467-n,True,1,True,True,True,0.0219,0.0687
elkhound,Norwegian elkhound,02091467-n,02091467-n,True,1,True,True,True,0.0221,0.0529
otterhound,otter,02091635-n,02444819-n,False,3,False,True,True,0.0216,0.0697
otter hound,otterhound,02091635-n,02091635-n,True,1,True,True,True,0.0213,0.0131
Saluki,Saluki,02091831-n,02091831-n,True,1,True,True,True,0.0206,0.0633
gazelle hound,gazelle,02091831-n,02423022-n,False,-1,False,False,False,0.0211,0.0539
Scottish deerhound,Scottish deerhound,02092002-n,02092002-n,True,1,True,True,True,0.0217,0.0727
deerhound,deerstalker,02092002-n,03170872-n,False,3,False,True,True,0.0222,0.0109
Weimaraner,Weimaraner,02092339-n,02092339-n,True,1,True,True,True,0.0209,0.0724
Staffordshire bullterrier,Staffordshire bullterrier,02093256-n,02093256-n,True,1,True,True,True,0.0213,0.0823
Staffordshire bull terrier,Staffordshire bullterrier,02093256-n,02093256-n,True,1,True,True,True,0.024,0.0152
American Staffordshire terrier,American Staffordshire terrier,02093428-n,02093428-n,True,1,True,True,True,0.0225,0.0173
Staffordshire terrier,American Staffordshire terrier,02093428-n,02093428-n,True,1,True,True,True,0.0284,0.0009
American pit bull terrier,bullterrier,02093428-n,02093056-n,False,-1,False,False,False,0.0293,0.0363
pit bull terrier,terrier,02093428-n,02092468-n,False,-1,False,False,False,0.023,0.0241
Bedlington terrier,Bedlington terrier,02093647-n,02093647-n,True,1,True,True,True,0.0252,0.0433
Border terrier,Border terrier,02093754-n,02093754-n,True,1,True,True,True,0.0224,0.031
Kerry blue terrier,Kerry blue terrier,02093859-n,02093859-n,True,1,True,True,True,0.0223,0.0566
Irish terrier,Irish terrier,02093991-n,02093991-n,True,1,True,True,True,0.0211,0.0318
Norfolk terrier,Norfolk terrier,02094114-n,02094114-n,True,1,True,True,True,0.0224,0.0136
Norwich terrier,Norwich terrier,02094258-n,02094258-n,True,1,True,True,True,0.0217,0.0157
Yorkshire terrier,Yorkshire terrier,02094433-n,02094433-n,True,1,True,True,True,0.0208,0.014
wire-haired fox terrier,wire-haired fox terrier,02095314-n,02095314-n,True,1,True,True,True,0.021,0.0651
Lakeland terrier,Lakeland terrier,02095570-n,02095570-n,True,1,True,True,True,0.0205,0.0146
Sealyham terrier,Sealyham terrier,02095889-n,02095889-n,True,1,True,True,True,0.0243,0.0288
Sealyham,Sealyham,02095889-n,08895623-n,False,2,False,True,True,0.0216,0.0408
Airedale,Airedale,02096051-n,02096051-n,True,1,True,True,True,0.0235,0.0555
Airedale terrier,Airedale,02096051-n,02096051-n,True,1,True,True,True,0.0233,0.0005
cairn,cairn,02096177-n,07273802-n,False,2,False,True,True,0.0222,0.0664
cairn terrier,cairn,02096177-n,02096177-n,True,1,True,True,True,0.0212,0.027
Australian terrier,Australian terrier,02096294-n,02096294-n,True,1,True,True,True,0.0214,0.0006
Dandie Dinmont,Dandie Dinmont,02096437-n,02096437-n,True,1,True,True,True,0.0212,0.0652
Dandie Dinmont terrier,Dandie Dinmont,02096437-n,02096437-n,True,1,True,True,True,0.0218,0.0263
Boston bull,Boston bull,02096585-n,02096585-n,True,1,True,True,True,0.0219,0.0139
Boston terrier,Boston bull,02096585-n,02096585-n,True,1,True,True,True,0.0197,0.0005
miniature schnauzer,miniature schnauzer,02097047-n,02097047-n,True,1,True,True,True,0.0202,0.0626
giant schnauzer,giant schnauzer,02097130-n,02097130-n,True,1,True,True,True,0.0282,0.0013
standard schnauzer,standard schnauzer,02097209-n,02097209-n,True,1,True,True,True,0.0346,0.0152
Scotch terrier,Scotch terrier,02097298-n,02097298-n,True,1,True,True,True,0.0213,0.0149
Scottish terrier,Skye terrier,02097298-n,02097786-n,False,2,False,True,True,0.0222,0.0007
Scottie,Scott,02097298-n,11289709-n,False,-1,False,False,False,0.0219,0.0675
Tibetan terrier,Tibetan terrier,02097474-n,02097474-n,True,1,True,True,True,0.0211,0.0456
chrysanthemum dog,chrysanthemum,02097474-n,11951271-n,False,-1,False,False,False,0.0214,0.1018
silky terrier,silky terrier,02097658-n,02097658-n,True,1,True,True,True,0.0431,0.0125
Sydney silky,silky terrier,02097658-n,02097658-n,True,1,True,True,True,0.0208,0.0492
soft-coated wheaten terrier,soft-coated wheaten terrier,02098105-n,02098105-n,True,1,True,True,True,0.0211,0.0319
West Highland white terrier,West Highland white terrier,02098286-n,02098286-n,True,1,True,True,True,0.0206,0.0006
Lhasa,Lhasa,02098413-n,02098413-n,True,1,True,True,True,0.0201,0.0517
Lhasa apso,Lhasa,02098413-n,02098413-n,True,1,True,True,True,0.0214,0.0455
flat-coated retriever,flat-coated retriever,02099267-n,02099267-n,True,1,True,True,True,0.0224,0.0443
curly-coated retriever,curly-coated retriever,02099429-n,02099429-n,True,1,True,True,True,0.0216,0.0104
golden retriever,golden retriever,02099601-n,02099601-n,True,1,True,True,True,0.0229,0.0414
Labrador retriever,Labrador retriever,02099712-n,02099712-n,True,1,True,True,True,0.0216,0.0298
Chesapeake Bay retriever,Chesapeake Bay retriever,02099849-n,02099849-n,True,1,True,True,True,0.0214,0.0275
German short-haired pointer,German short-haired pointer,02100236-n,02100236-n,True,1,True,True,True,0.0222,0.0653
vizsla,vizsla,02100583-n,02100583-n,True,1,True,True,True,0.0227,0.0717
Hungarian pointer,pointer,02100583-n,02099997-n,False,-1,False,False,False,0.0205,0.0535
English setter,English setter,02100735-n,02100735-n,True,1,True,True,True,0.0426,0.0703
Irish setter,Irish setter,02100877-n,02100877-n,True,1,True,True,True,0.0237,0.0343
red setter,Irish setter,02100877-n,02100877-n,True,1,True,True,True,0.035,0.0116
Gordon setter,Gordon setter,02101006-n,02101006-n,True,1,True,True,True,0.022,0.0372
Brittany spaniel,Brittany spaniel,02101388-n,02101388-n,True,1,True,True,True,0.0232,0.0173
clumber,clumber,02101556-n,02101556-n,True,1,True,True,True,0.0214,0.0622
clumber spaniel,clumber,02101556-n,02101556-n,True,1,True,True,True,0.0211,0.0105
English springer,English springer,02102040-n,02102040-n,True,1,True,True,True,0.0208,0.0685
English springer spaniel,English springer,02102040-n,02102040-n,True,1,True,True,True,0.0204,0.0005
Welsh springer spaniel,Welsh springer spaniel,02102177-n,02102177-n,True,1,True,True,True,0.0201,0.0005
cocker spaniel,cocker spaniel,02102318-n,02102318-n,True,1,True,True,True,0.0205,0.0142
English cocker spaniel,cocker spaniel,02102318-n,02102318-n,True,1,True,True,True,0.0232,0.0006
cocker,cocksucker,02102318-n,09933324-n,False,3,False,True,True,0.0202,0.0263
Sussex spaniel,Sussex spaniel,02102480-n,02102480-n,True,1,True,True,True,0.0209,0.0006
Irish water spaniel,Irish water spaniel,02102973-n,02102973-n,True,1,True,True,True,0.0205,0.0488
kuvasz,kuvasz,02104029-n,02104029-n,True,1,True,True,True,0.02,0.0708
schipperke,schipperke,02104365-n,02104365-n,True,1,True,True,True,0.0222,0.0712
groenendael,groenendael,02105056-n,02105056-n,True,1,True,True,True,0.033,0.0674
malinois,Malian,02105162-n,09722279-n,False,2,False,True,True,0.0212,0.0633
briard,briard,02105251-n,02105251-n,True,1,True,True,True,0.0208,0.0645
kelpie,kelpie,02105412-n,02105412-n,True,1,True,True,True,0.0214,0.0662
komondor,komondor,02105505-n,02105505-n,True,1,True,True,True,0.0205,0.0611
Old English sheepdog,Old English sheepdog,02105641-n,02105641-n,True,1,True,True,True,0.0207,0.0721
bobtail,bobtail,02105641-n,02158066-n,False,-1,False,False,False,0.0206,0.0685
Shetland sheepdog,Shetland sheepdog,02105855-n,02105855-n,True,1,True,True,True,0.0437,0.0371
Shetland sheep dog,Shetland sheepdog,02105855-n,02105855-n,True,1,True,True,True,0.0455,0.014
Shetland,Shetland,02105855-n,08954057-n,False,5,False,False,True,0.0259,0.0375
collie,collie,02106030-n,02106030-n,True,1,True,True,True,0.0441,0.0397
Border collie,Border collie,02106166-n,02106166-n,True,1,True,True,True,0.0205,0.0243
Bouvier des Flandres,Bouvier des Flandres,02106382-n,02106382-n,True,1,True,True,True,0.0213,0.0651
Bouviers des Flandres,Bouvier des Flandres,02106382-n,02106382-n,True,1,True,True,True,0.021,0.0004
Rottweiler,Rottweiler,02106550-n,02106550-n,True,1,True,True,True,0.0229,0.0375
German shepherd,German shepherd,02106662-n,02106662-n,True,1,True,True,True,0.0218,0.0521
German shepherd dog,German shepherd,02106662-n,02106662-n,True,1,True,True,True,0.0222,0.0004
German police dog,police dog,02106662-n,02106854-n,False,2,False,True,True,0.0232,0.0267
alsatian,Alsatian,02106662-n,09785786-n,False,-1,False,False,False,0.0207,0.0678
Doberman,Doberman,02107142-n,02107142-n,True,1,True,True,True,0.0207,0.0719
Doberman pinscher,Doberman,02107142-n,02107142-n,True,1,True,True,True,0.021,0.0289
miniature pinscher,miniature pinscher,02107312-n,02107312-n,True,1,True,True,True,0.0219,0.0451
Greater Swiss Mountain dog,Greater Swiss Mountain dog,02107574-n,02107574-n,True,1,True,True,True,0.0204,0.0944
Bernese mountain dog,Bernese mountain dog,02107683-n,02107683-n,True,1,True,True,True,0.046,0.0127
Appenzeller,Appenzeller,02107908-n,02107908-n,True,1,True,True,True,0.044,0.0611
EntleBucher,EntleBucher,02108000-n,02108000-n,True,1,True,True,True,0.0218,0.0668
boxer,Boxer,02108089-n,09870746-n,False,3,False,True,True,0.0214,0.0685
bull mastiff,bull mastiff,02108422-n,02108422-n,True,1,True,True,True,0.0215,0.0455
Tibetan mastiff,Tibetan mastiff,02108551-n,02108551-n,True,1,True,True,True,0.0207,0.0114
French bulldog,French bulldog,02108915-n,02108915-n,True,1,True,True,True,0.0212,0.0699
Great Dane,Great Dane,02109047-n,02109047-n,True,1,True,True,True,0.0212,0.0545
Saint Bernard,Saint Bernard,02109525-n,02109525-n,True,1,True,True,True,0.0206,0.051
St Bernard,Saint Bernard,02109525-n,02109525-n,True,1,True,True,True,0.0208,0.0155
Eskimo dog,Eskimo dog,02109961-n,02109961-n,True,1,True,True,True,0.0204,0.0757
husky,Siberian husky,02109961-n,02110185-n,False,-1,False,False,False,0.0213,0.0408
malamute,malamute,02110063-n,02110063-n,True,1,True,True,True,0.0213,0.0626
malemute,male horse,02110063-n,02376918-n,False,-1,False,False,False,0.0209,0.0636
Alaskan malamute,malamute,02110063-n,02110063-n,True,1,True,True,True,0.0221,0.0219
Siberian husky,Siberian husky,02110185-n,02110185-n,True,1,True,True,True,0.0198,0.0419
dalmatian,Dalmatian,02110341-n,09988918-n,False,2,False,True,True,0.0224,0.0732
coach dog,coach,02110341-n,09931640-n,False,-1,False,False,False,0.0222,0.0627
carriage dog,carriage,02110341-n,02968473-n,False,-1,False,False,False,0.0213,0.0348
affenpinscher,affenpinscher,02110627-n,02110627-n,True,1,True,True,True,0.022,0.0745
monkey pinscher,pinscher,02110627-n,02106966-n,False,-1,False,False,False,0.02,0.0409
monkey dog,monkey,02110627-n,02484322-n,False,-1,False,False,False,0.0216,0.0533
basenji,basenji,02110806-n,02110806-n,True,1,True,True,True,0.0199,0.0706
pug,pug,02110958-n,02110958-n,True,1,True,True,True,0.0221,0.0695
pug-dog,pug,02110958-n,02110958-n,True,1,True,True,True,0.022,0.0132
Leonberg,Leonberg,02111129-n,02111129-n,True,1,True,True,True,0.0226,0.0613
Newfoundland,Newfoundland,02111277-n,08825211-n,False,2,False,True,True,0.0198,0.0666
Newfoundland dog,Newfoundland,02111277-n,02111277-n,True,1,True,True,True,0.0203,0.0006
Great Pyrenees,Great Pyrenees,02111500-n,02111500-n,True,1,True,True,True,0.021,0.0201
Samoyed,Samoyed,02111889-n,09707887-n,False,2,False,True,True,0.0208,0.0662
Samoyede,Samoyed,02111889-n,09707887-n,False,4,False,False,True,0.0218,0.014
Pomeranian,Pomeranian,02112018-n,02112018-n,True,1,True,True,True,0.0212,0.0143
chow,chow,02112137-n,02112137-n,True,1,True,True,True,0.0206,0.0701
chow chow,chow,02112137-n,02112137-n,True,1,True,True,True,0.0207,0.0005
keeshond,keeshond,02112350-n,02112350-n,True,1,True,True,True,0.0205,0.0758
Brabancon griffon,Brabancon griffon,02112706-n,02112706-n,True,1,True,True,True,0.0206,0.0691
Pembroke,Pembroke,02113023-n,02113023-n,True,1,True,True,True,0.0206,0.0547
Pembroke Welsh corgi,Pembroke,02113023-n,02113023-n,True,1,True,True,True,0.0205,0.0518
Cardigan,cardigan,02113186-n,02963159-n,False,2,False,True,True,0.0206,0.056
Cardigan Welsh corgi,Cardigan,02113186-n,02113186-n,True,1,True,True,True,0.0206,0.0164
toy poodle,toy poodle,02113624-n,02113624-n,True,1,True,True,True,0.02,0.0594
miniature poodle,miniature poodle,02113712-n,02113712-n,True,1,True,True,True,0.0213,0.0277
standard poodle,standard poodle,02113799-n,02113799-n,True,1,True,True,True,0.0213,0.0006
Mexican hairless,Mexican hairless,02113978-n,02113978-n,True,1,True,True,True,0.0207,0.0594
timber wolf,timber wolf,02114367-n,02114367-n,True,1,True,True,True,0.0316,0.0346
grey wolf,red wolf,02114367-n,02114712-n,False,-1,False,False,False,0.0204,0.0316
gray wolf,red wolf,02114367-n,02114712-n,False,-1,False,False,False,0.0434,0.0014
Canis lupus,systemic lupus erythematosus,02114367-n,14221311-n,False,-1,False,False,False,0.0502,0.0865
white wolf,white wolf,02114548-n,02114548-n,True,1,True,True,True,0.0199,0.0005
Arctic wolf,white wolf,02114548-n,02114548-n,True,1,True,True,True,0.0197,0.0155
Canis lupus tundrarum,lupus vulgaris,02114548-n,14220308-n,False,-1,False,False,False,0.0212,0.023
red wolf,red wolf,02114712-n,02114712-n,True,1,True,True,True,0.0214,0.0006
maned wolf,wolf,02114712-n,02114100-n,False,-1,False,False,False,0.02,0.0153
Canis rufus,Canis,02114712-n,02083863-n,False,-1,False,False,False,0.0319,0.0474
Canis niger,Niger,02114712-n,08973330-n,False,-1,False,False,False,0.0199,0.0521
coyote,coyote,02114855-n,09973903-n,False,3,False,True,True,0.0212,0.0679
prairie wolf,wolf,02114855-n,02114100-n,False,-1,False,False,False,0.0219,0.0153
brush wolf,wolf,02114855-n,02114100-n,False,-1,False,False,False,0.0205,0.0266
Canis latrans,Canis Minor,02114855-n,09232989-n,False,-1,False,False,False,0.0213,0.0501
dingo,dingo,02115641-n,02115641-n,True,1,True,True,True,0.0203,0.0587
warrigal,warrigal,02115641-n,02381744-n,False,-1,False,False,False,0.0206,0.0664
warragal,waratah,02115641-n,12223764-n,False,-1,False,False,False,0.0202,0.0279
Canis dingo,dingo,02115641-n,02115641-n,True,1,True,True,True,0.0215,0.0004
dhole,dhole,02115913-n,02115913-n,True,1,True,True,True,0.0203,0.0916
Cuon alpinus,curassow,02115913-n,01799679-n,False,-1,False,False,False,0.0433,0.0601
African hunting dog,African hunting dog,02116738-n,02116738-n,True,1,True,True,True,0.0425,0.0529
hyena dog,hyena,02116738-n,02117135-n,False,-1,False,False,False,0.0209,0.0634
Cape hunting dog,African hunting dog,02116738-n,02116738-n,True,1,True,True,True,0.0197,0.0363
Lycaon pictus,Picrasma,02116738-n,12718314-n,False,-1,False,False,False,0.0211,0.0683
hyena,hyena,02117135-n,02117135-n,True,1,True,True,True,0.0207,0.0004
hyaena,genus Hyaena,02117135-n,02117369-n,False,-1,False,False,False,0.0217,0.0564
red fox,red fox,02119022-n,02119022-n,True,1,True,True,True,0.0204,0.0567
Vulpes vulpes,Vulpes,02119022-n,02118854-n,False,-1,False,False,False,0.0202,0.0588
kit fox,kit fox,02119789-n,02119634-n,False,2,False,True,True,0.0204,0.0318
Vulpes macrotis,vulvitis,02119789-n,14358993-n,False,-1,False,False,False,0.0211,0.0418
Arctic fox,Arctic fox,02120079-n,02120079-n,True,1,True,True,True,0.0216,0.0234
white fox,silver fox,02120079-n,02119359-n,False,-1,False,False,False,0.0203,0.029
Alopex lagopus,Alopex,02120079-n,02119961-n,False,-1,False,False,False,0.0215,0.0456
grey fox,grey fox,02120505-n,02120505-n,True,1,True,True,True,0.021,0.0004
gray fox,fox,02120505-n,14764910-n,False,2,False,True,True,0.0205,0.0005
Urocyon cinereoargenteus,Urocyon,02120505-n,02120387-n,False,-1,False,False,False,0.0226,0.0613
tabby,tabby,02123045-n,02123045-n,True,1,True,True,True,0.0216,0.0665
tabby cat,tabby,02123045-n,02123045-n,True,1,True,True,True,0.0225,0.0398
tiger cat,tiger cat,02123159-n,02123159-n,True,1,True,True,True,0.022,0.068
Persian cat,Persian cat,02123394-n,02123394-n,True,1,True,True,True,0.0319,0.0632
Siamese cat,Siamese cat,02123597-n,02123597-n,True,1,True,True,True,0.0203,0.076
Siamese,siamese,02123597-n,04212573-n,False,3,False,True,True,0.0203,0.0283
Egyptian cat,Egyptian cat,02124075-n,02124075-n,True,1,True,True,True,0.0209,0.0352
cougar,cougar,02125311-n,02125311-n,True,1,True,True,True,0.0213,0.0543
puma,puka,02125311-n,12949160-n,False,-1,False,False,False,0.0207,0.0702
catamount,Cattell,02125311-n,10891428-n,False,-1,False,False,False,0.0208,0.0668
mountain lion,lion,02125311-n,02129165-n,False,-1,False,False,False,0.0205,0.048
painter,painter,02125311-n,10393909-n,False,-1,False,False,False,0.0505,0.0618
panther,Panthera,02125311-n,02128120-n,False,-1,False,False,False,0.0214,0.0542
Felis concolor,Felis,02125311-n,02121234-n,False,-1,False,False,False,0.02,0.0617
lynx,lynx,02127052-n,06571724-n,False,3,False,True,True,0.0202,0.0567
catamount,Cattell,02127052-n,10891428-n,False,-1,False,False,False,0.0127,0.0004
leopard,leopard,02128385-n,14765422-n,False,3,False,True,True,0.0211,0.0648
Panthera pardus,Panthera,02128385-n,02128120-n,False,-1,False,False,False,0.0208,0.013
snow leopard,snow leopard,02128757-n,02128757-n,True,1,True,True,True,0.0207,0.0009
ounce,ounce,02128757-n,13722522-n,False,-1,False,False,False,0.0198,0.0746
Panthera uncia,Panthera,02128757-n,02128120-n,False,-1,False,False,False,0.021,0.0109
jaguar,jaguar,02128925-n,02128925-n,True,1,True,True,True,0.022,0.044
panther,Panthera,02128925-n,02128120-n,False,-1,False,False,False,0.0127,0.0004
Panthera onca,Panthera,02128925-n,02128120-n,False,-1,False,False,False,0.0199,0.0004
Felis onca,feria,02128925-n,00517564-n,False,-1,False,False,False,0.02,0.0397
lion,lion,02129165-n,02129165-n,True,1,True,True,True,0.02,0.0254
king of beasts,beast,02129165-n,09845589-n,False,-1,False,False,False,0.0313,0.039
Panthera leo,Panthera,02129165-n,02128120-n,False,-1,False,False,False,0.0204,0.0305
tiger,tiger,02129604-n,10710632-n,False,2,False,True,True,0.0202,0.0143
Panthera tigris,Panthera,02129604-n,02128120-n,False,-1,False,False,False,0.0207,0.0363
cheetah,cheetah,02130308-n,02130308-n,True,1,True,True,True,0.023,0.062
chetah,chetrum,02130308-n,13689518-n,False,-1,False,False,False,0.0336,0.1137
Acinonyx jubatus,Acinonyx,02130308-n,02130190-n,False,-1,False,False,False,0.0466,0.0645
brown bear,brown bear,02132136-n,02132136-n,True,1,True,True,True,0.0463,0.0254
bruin,bruin,02132136-n,02132320-n,False,-1,False,False,False,0.0219,0.0644
Ursus arctos,Ursus,02132136-n,02131942-n,False,-1,False,False,False,0.0217,0.0551
American black bear,American black bear,02133161-n,02133161-n,True,1,True,True,True,0.0199,0.0128
black bear,American black bear,02133161-n,02133161-n,True,1,True,True,True,0.025,0.0133
Ursus americanus,Ursus,02133161-n,02131942-n,False,-1,False,False,False,0.0234,0.0412
Euarctos americanus,Euarctos,02133161-n,02132974-n,False,-1,False,False,False,0.0246,0.07
ice bear,ice bear,02134084-n,02134084-n,True,1,True,True,True,0.0206,0.028
polar bear,Thalarctos,02134084-n,02133902-n,False,3,False,True,True,0.022,0.0253
Ursus Maritimus,ursinia,02134084-n,12030092-n,False,-1,False,False,False,0.0211,0.0443
Thalarctos maritimus,mariposa,02134084-n,12446200-n,False,-1,False,False,False,0.0213,0.0547
sloth bear,sloth bear,02134418-n,02134418-n,True,1,True,True,True,0.0206,0.0734
Melursus ursinus,Melursus,02134418-n,02134240-n,False,-1,False,False,False,0.0226,0.0502
Ursus ursinus,ursinia,02134418-n,12030092-n,False,-1,False,False,False,0.021,0.0112
mongoose,mongoose,02137549-n,02137549-n,True,1,True,True,True,0.0218,0.0688
meerkat,meerkat,02138441-n,02138441-n,True,1,True,True,True,0.0221,0.0699
mierkat,Miwok,02138441-n,09661397-n,False,3,False,True,True,0.0213,0.0445
tiger beetle,tiger beetle,02165105-n,02165105-n,True,1,True,True,True,0.0209,0.064
ladybug,ladybug,02165456-n,02165456-n,True,1,True,True,True,0.0203,0.07
ladybeetle,Lady,02165456-n,10242791-n,False,3,False,True,True,0.0229,0.0527
lady beetle,ladybug,02165456-n,02165456-n,True,1,True,True,True,0.0223,0.011
ladybird,songbird,02165456-n,01526521-n,False,-1,False,False,False,0.0223,0.0006
ladybird beetle,ladybug,02165456-n,02165456-n,True,1,True,True,True,0.0226,0.0145
ground beetle,ground beetle,02167151-n,02167151-n,True,1,True,True,True,0.0215,0.0203
carabid beetle,Carabidae,02167151-n,02166986-n,False,-1,False,False,False,0.0254,0.0148
long-horned beetle,long-horned beetle,02168699-n,02168699-n,True,1,True,True,True,0.0246,0.0625
longicorn,longwool,02168699-n,02414209-n,False,-1,False,False,False,0.0207,0.0391
longicorn beetle,long-horned beetle,02168699-n,02168699-n,True,1,True,True,True,0.0232,0.0007
leaf beetle,leaf beetle,02169497-n,02169497-n,True,1,True,True,True,0.0235,0.0378
chrysomelid,Chrysomelidae,02169497-n,02169345-n,False,-1,False,False,False,0.0442,0.0554
dung beetle,dung beetle,02172182-n,02172182-n,True,1,True,True,True,0.0224,0.0291
rhinoceros beetle,rhinoceros beetle,02174001-n,02174001-n,True,1,True,True,True,0.0219,0.0577
weevil,weevil,02177972-n,02177972-n,True,1,True,True,True,0.022,0.0812
fly,fly,02190166-n,01940403-v,False,-1,False,False,False,0.0242,0.0576
bee,bee,02206856-n,07975909-n,False,2,False,True,True,0.0207,0.0403
ant,slave-making ant,02219486-n,02221820-n,False,2,False,True,True,0.0197,0.0724
emmet,emmetropia,02219486-n,14096957-n,False,-1,False,False,False,0.0209,0.0706
pismire,piste,02219486-n,03948347-n,False,-1,False,False,False,0.0224,0.0459
grasshopper,grasshopper,02226429-n,07915213-n,False,2,False,True,True,0.0207,0.0711
hopper,hopper,02226429-n,10185327-n,False,-1,False,False,False,0.0235,0.064
cricket,cricket,02229544-n,00476389-n,False,-1,False,False,False,0.021,0.0616
walking stick,walking stick,02231487-n,04546194-n,False,2,False,True,True,0.0207,0.0611
walkingstick,walking stick,02231487-n,04546194-n,False,2,False,True,True,0.0199,0.0249
stick insect,walking stick,02231487-n,02231487-n,True,1,True,True,True,0.0211,0.0489
cockroach,cockroach,02233338-n,02233338-n,True,1,True,True,True,0.0217,0.0714
roach,roach,02233338-n,04095853-n,False,-1,False,False,False,0.0226,0.0654
mantis,mantis,02236044-n,02236044-n,True,1,True,True,True,0.0219,0.0696
mantid,Mande,02236044-n,06997012-n,False,-1,False,False,False,0.0198,0.064
cicada,cicada,02256656-n,02256656-n,True,1,True,True,True,0.0218,0.0458
cicala,Cimarron,02256656-n,09244972-n,False,-1,False,False,False,0.0223,0.0616
leafhopper,leafhopper,02259212-n,02259212-n,True,1,True,True,True,0.0217,0.0373
lacewing,lacewing,02264363-n,02264363-n,True,1,True,True,True,0.0211,0.0601
lacewing fly,lacewing,02264363-n,02264363-n,True,1,True,True,True,0.0195,0.0306
dragonfly,dragonfly,02268443-n,02268443-n,True,1,True,True,True,0.0209,0.0282
darning needle,darning needle,02268443-n,03162556-n,False,-1,False,False,False,0.0212,0.0596
devil's darning needle,darning needle,02268443-n,03162556-n,False,-1,False,False,False,0.0233,0.0168
sewing needle,sewing needle,02268443-n,04180063-n,False,-1,False,False,False,0.043,0.0483
snake feeder,snakebird,02268443-n,02054502-n,False,-1,False,False,False,0.0209,0.0393
snake doctor,snake oil,02268443-n,15043579-n,False,-1,False,False,False,0.0224,0.0163
mosquito hawk,hawkmoth,02268443-n,02298541-n,False,-1,False,False,False,0.0231,0.0696
skeeter hawk,Sphingidae,02268443-n,02298379-n,False,-1,False,False,False,0.0223,0.0437
damselfly,damselfly,02268853-n,02268853-n,True,1,True,True,True,0.0207,0.06
admiral,admiral,02276258-n,09771204-n,False,-1,False,False,False,0.021,0.0602
ringlet,ringlet,02277742-n,04093157-n,False,2,False,True,True,0.0222,0.0651
ringlet butterfly,ringlet,02277742-n,02277742-n,True,1,True,True,True,0.0218,0.0399
monarch,monarch,02279972-n,02279972-n,True,1,True,True,True,0.0219,0.0664
monarch butterfly,monarch,02279972-n,02279972-n,True,1,True,True,True,0.0201,0.0384
